text,trans
雛菜がなんとかしてあげる～～～♡,히나나가 어떻게든 해줄게~~♡
プロデューサーさま……,프로듀서님……
"プロデューサーさん、わ、わたし……！
もっと上手く歌えるように頑張りたいので……","프로듀서님 저, 저……!
노래를 더 잘 부를 수 있도록 열심히 하고 싶어서……"
"わぁ……すごい……
歌が上達した気がします……！","와…… 굉장해……
노래 실력이 향상된 것 같아요……!"
"あ、いえ、このくらいできて当然ですけど……！
や、約束守ってくれて、あ、ありがとうございました……","아, 아뇨, 이 정도는 당연한 거지만요……!
야, 약속 지켜주셔서, 가, 감사합니다……"
"プロデューサーさん、あの……
ぼ、ボーカルレッスンは……","프로듀서님, 저기……
보, 보컬 레슨은……"
つ、次は頑張らせてくださいね……,"다, 다음엔 노력해서 잡아주세요……"
"ぴぇ……ご、ごめんなさい
あまり上手くできませんでした……","삐에……죄, 죄송해요
잘하지 못했어요……"
つ、次は頑張ります……！,"다, 다음엔 열심히 할게요……!"
"プロデューサーさん、わ、わたし……！
もっと上手く踊れるように頑張りたいので……","프로듀서님 저, 저……!
춤을 더 잘 출 수 있도록 노력하고 싶어서……"
"わぁ……やった……
ダンスが上達した気がします……！","와…… 해냈다……
댄스 실력이 향상된 것 같아요……!"
"あ、いえ、このくらい普通ですけど……！
や、約束守ってくれて、あ、ありがとうございました……","아, 아뇨, 이 정도는 당연한 거지만요……!
야, 약속 지켜주셔서, 가, 감사합니다……"
"プロデューサーさん、えっと……
だ、ダンスレッスンは……","프로듀서님, 저기……
대, 댄스 레슨은……"
や、やる気十分だったのに……,"의, 의욕만만이었는데……"
"プロデューサーさん、わ、わたし……！
もっと上手にお化粧できるように頑張りたいので……","프로듀서님, 저, 저……!
화장을 더 잘할 수 있도록 노력하고 싶어서……"
"わぁ……えへへ……
お化粧が上達した気がします……！","와…… 에헤헤……
화장을 더 잘할 수 있게 된 거 같아요……!"
"あ、いえ、な、なんでもないです……！
や、約束守ってくれて、あ、ありがとうございました……","아, 아뇨, 아, 아무것도 아니에요……!
야, 약속 지켜줘서 가, 감사합니다……"
"プロデューサーさん、その……
び、ビジュアルレッスンは……","프로듀서님, 그……
비, 비주얼 레슨은……"
わ、わたしどうしたら……,"ㅈ, 제가 어떻게 해야……"
"あ、あの……
学校で課題がたくさん出たので……！","저, 저기……
학교에서 과제가 많이 나와서요……!"
課題も終わって、リフレッシュもできました……！,"과제도 끝내고, 리프레쉬도 했어요……!"
ま、また明日からレッスン頑張ります……！,"다, 다시 내일부터 레슨 열심히 할게요……!"
"あ、あれ……
お休み……だったような……","어, 어라……
휴식……이었던 것 같은데……"
か、課題……どうしよう……,"과, 과제…… 어떡하지……"
あ、ありがとうございます……！,"가, 감사합니다……!"
そ、そうですよね……！,"그, 그렇겠죠……!"
二週間後にボーカルレッスンがしたいです……！,2주 후에 보컬 레슨 하고 싶어요……!
一週間後にダンスレッスンしてもいいですか……！,일주일 뒤에 댄스 레슨을 하고 싶어요……!
一週間後、ビジュアルレッスン受けてもいいですか……！,일주일 뒤에 비주얼 레슨 받아도 될까요……!
一週間後にお休みをしてもいいですか……？,일주일 뒤에 휴식해도 괜찮을까요……!
なんか、上手くいかなくて,"왠지, 잘 안돼서"
──ごめんね,──미안해
見てた？,봤어?
"ふふっ。ちょっとやれてたでしょ
レッスンのこと、ありがと","후훗. 좀 잘했지
레슨, 고마워"
"あれ
ダンスレッスン、ないの？","어라
댄스 레슨, 없어?"
"……そっか
河原とか、行こうかな","……그렇구나 
강변이나, 가볼까"
あー……,아ー……
ふふっ\nわりと楽しみにしてた,후훗\n은근히 기대하고 있었어
"家のこと
手伝わなきゃだったんだ","집안일
도와줘야 했거든"
"ありがと
布団、干せたよ","고마워
이불, 다 널었어"
──あ、プロデューサーのせいじゃないよ,"──아, 프로듀서 탓이 아니야"
"気にしないで
仕事だし","신경쓰지 마
일이잖아"
"──あ、プロデューサー
今日、声出てたでしょ","──아, 프로듀서
오늘, 목소리 괜찮았지?"
"ありがと
レッスン入れてもらえてよかった","고마워
레슨 넣어줘서 다행이었어"
"…………
ボーカルレッスン、できないってことか","…………
보컬 레슨, 못 하는 거구나"
まぁいいや……,뭐 괜찮아……
"いつも
すぐ取りたくなっちゃうけど","항상
바로 지우고 싶어지지만"
──どう？　メイク,──어때? 메이크업
"──やっぱり、
ちょっとアレだったよね今日","──역시, 
조금 그렇네 오늘"
"二週間後ボーカルレッスン
入れてほしいな","이주일 뒤 보컬 레슨
넣어줬으면 좋겠네"
"あ、いいの？
ふふっ、ありがと","아, 괜찮아?
후훗, 고마워"
"あ、うん。わかってたよ
……ごめんね、急に","아, 응. 알았어
……미안해, 갑자기"
"メイク薄いよって言われたんだよね
──お母さんが言うなって感じだけど","맨얼굴이랑 별 차이 없다는 말 들었어
──엄마가 할 말은 아닌 거 같지만"
"一応、ビジュアルレッスン入れたいんだけど
一週間後どうかな","일단, 비주얼 레슨을 넣고 싶은데
1주일 후에 어떨까"
"あ、いいの？
ふふっ、ありがと","아, 괜찮아?
후훗, 고마워"
"あ、うん。わかってたよ
……ごめんね、急に","아, 응. 알고 있었어
……미안해, 갑자기"
"ねぇ、休みの希望って
出しても平気？","저기, 휴식 요청해도
괜찮을까?"
"スケジュールが大丈夫そうだったら
二週間後休めないかな","스케줄이 괜찮을 것 같으면
이주일 뒤에 쉴 수 없을까"
"あ、いいの？
ふふっ、ありがと","아, 괜찮아?
후훗, 고마워"
"あ、うん。わかってたよ
……ごめんね、急に","아, 응. 알고 있었어
……미안해, 갑자기"
"ボーカルレッスン終わりました
上達……？　さあ、どうでしょうね","보컬 레슨 끝났어요
진전……? 글쎄요, 어떠려나요"
"講師の方には褒めてもらえるので、
まあまあなんじゃないですか","강사 분들한테는 칭찬받을 수 있었으니까,
그럭저럭 아닐까요"
今回はダメでしたね,이번엔 잘 안됐네요
という報告です。お疲れ様でした,그렇다는 보고였어요. 수고하셨습니다
"ビジュアルレッスン終わりました
今回はスキンケアと、目元のメイクと──","비주얼 레슨 끝났어요
이번에는 스킨케어랑, 눈화장이랑──"
"……感想とかやめてもらえます？
あなたのためじゃないので","감상같은 거 말하지 말아주실래요?
당신 보라고 한 게 아니니까요"
ああ、そう,"아, 그래요?"
……ふうん,……흐응
"はい、ゆっくりと休めました
……これ以上のことはプライベートなので","네, 푹 쉬었어요
……이 이상은 프라이빗이라"
ふぁ、ねむ……,"후아, 졸려……"
約束を忘れるとか、ないですね,약속을 잊어버렸다든가 한 거 아니겠죠
……本当ありえない,……정말 말도 안 돼
"ダンスレッスン終わりました
特に問題ありません","댄스 레슨 끝났어요
딱히 문제는 없었어요"
……ふう、シャワー浴びたい,"……후우, 샤워하고 싶다"
ねえ、ミスター・馬車馬,"저기요, 미스터 일중독"
"あなたと違って、人間には休みが必要なんです
言葉……わかります？","당신과 달리, 인간에게는 휴식이 필요해요
무슨 말인지…… 아시겠어요?"
ここは本当にいい事務所ですね,여긴 정말로 좋은 사무소네요
約束のひとつも守れない社員をクビにしないなんて,약속 하나 지키지 못 하는 사원을 자르지 않고 있다니
あ、そうだ,"아, 그렇지"
二週間後、ビジュアルレッスンにできますか,이주일 후에 비주얼 레슨 잡아주실 수 있나요
では、よろしくお願いします,"그럼, 잘 부탁드리겠습니다"
"はい、わかりました
あなたが無能だということが","네, 잘 알겠네요
당신이 무능하다는 걸"
"お疲れ様！
どうだった？","수고했어!
어땠어?"
別に、普通です,"딱히, 평범했어요"
ははっ、円香らしい感想だな,"하핫, 마도카다운 감상이네"
……ワンパターンみたいに言われるのも癪ですね,……원 패턴이라는 듯이 말하는 것도 화가 나네요
"お、それじゃあ他の感想は？
円香が思ったことや感じたこと、教えてくれ","오, 그럼 다른 감상은?
마도카가 생각한 거나 느꼈던 것, 알려줘"
…………,…………
秘密です,비밀이에요
"えっ、ずるいぞ
今度はそういうパターンなのか？","에, 치사하네
이번엔 그런 패턴이야?"
"ずるい？　ふふ、かわいらしい語彙力
小学生よりも稚拙な煽りしかできないんですね","치사해? 후후, 귀여운 어휘력이네요
초등학생보다 치졸한 도발 밖에 못하나 보네요"
"いやいや！　ええと……
うん、話したくなったら、いつでも話してくれていいからな","아니아니! 그……
응, 얘기하고 싶어지면, 언제라도 얘기해줘도 되니까"
はい、とっても大人な対応をありがとうございます,"네, 무척 어른스러운 대응 고맙습니다"
"透、お疲れ様
なんていうか……堂々としてたよ","토오루, 수고했어
뭐랄까…… 당당하더라"
ふふっ、ありがと,"후훗, 고마워"
"いや、うん……
半分は褒めてるんだけど──","아니, 응……
반은 칭찬하는 건데──"
"カメラに抜かれた時に
ぼんやりしてるのは、ちょっとな","카메라에 비춰졌을 때
멍하니 있었던 건, 조금 그랬지만"
あー、うん,"아ー, 응"
"今日はさ、ウケてたから問題ないけど
ピリッとしちゃうこともあるからな？","오늘은 말야, 잘 먹혀서 문제는 없었지만
따끔하게 혼날 때도 있으니까 조심해?"
"うん
まぁ、ぼんやりしてたっていうか……","응
뭐, 멍하니 있었다고 할까……"
ん？,응?
考え事してたんだけどね,조금 생각을 하고 있었던 거뿐이지만 말야
"……はは
見た目はそんなに変わらないからな？","……하하
겉보기로는 별반 차이가 없으니까 말이지?"
ああ、そうだな！,"아아, 그렇구나!"
プロデューサーさん、\n甘奈がなんとかしておくねっ,"프로듀서님, \n아마나가 어떻게든 해둘게"
では、そろそろお仕事に移ってもらいましょうか,"그럼, 슬슬 업무로 돌아올까요?"
最初にプロデュースするアイドルを選んであげてください♪,처음으로 프로듀스할 아이돌을 선택해 주세요♪
ありがとうございますっ,감사합니다
私がなんとかしておきます……,제가 어떻게든 해둘게요……
大丈夫です、あたしに任せてください！,"괜찮아요, 저한테 맡겨주세요!"
プロデューサーさん、私がなんとかしてみますねっ,"프로듀서님, 제가 어떻게든 해볼게요"
さっすが～！　やるぅ♪\nうち、ご褒美あげちゃおっかなぁ,"과연~!꽤 하네♪\n나, 상줄까나"
ちょい待ちちょい待ち～\nこれくらいサクッとわかるっしょ～,잠만 기달 잠만 기달~\n이 정돈 착 하고 알아야지~
せいか～い！　すごか～\nなんでわかったと！？　んふふ～、うれしか……,"정~답! 굉장혀~\n어케 알았당가!? 응후후~, 기쁘구마……"
ふぇ～！　はずればい……\nうちの声とか～、手とか～わからんかったと～……？,"후에~! 틀렸구마……\n내 목소리라든가~, 손이라든가~ 몰랐당가~……?"
正解よ！　でも当然よね\n私だって絶対わかるもの……アナタのこと,정답이야! 하지만 당연한 거지\n나라도 무조건 알 수 있을걸…… 너라면
残念……私のことわからなかったかしら？\nそれは……少し寂しいわね,유감이야…… 나인줄 몰랐던 걸까?\n그건…… 조금 섭섭한걸
ふふ……\nはい……ここに……,후후……\n네……여기에……
──は、はい……！　その……\n当たりで……ございます…………,"──네, 네……!그게……\n맞혔……사옵니다…………"
あははっ\n簡単すぎたねっ！,아하핫\n너무 간단하지!
残念！　めぐるだよー！,유감! 메구루야-!
な、なんで……\nわかったの……！？,"어, 어떻게……\n알았어……!?"
やった……！\n甜花の、勝ち……！！,"야호……! \n텐카의, 승리……!!"
ま、当然よね\n外したらどうしてやろうかって考えてたとこだったわ,"뭐, 당연하지\n틀렸다면 어떻게 해줄까 생각하고 있던 참이었어"
はい残念でした\n罰ゲーム決定ね,네 유감입니다\n벌게임 결정이네
えへへっ当たりですっ！\nプロデューサーさんに、おかしをおすそわけですっ！,"에헤헷 맞췄어욧!\n프로듀서님에게, 과자를 나눠드릴게요!"
はずれですっ！　プロデューサーさんにも\nわからないことがあるんですね！　えへへっ,꽝이에욧! 프로듀서님에게도\n모르는 것이 있는거군요! 에헤헷
正解っす\nうーん……簡単すぎたっすか？,정답임다\n으-응…… 너무 간단했슴까?
あさひっす～！\nけど、どうして間違えたっすか？　教えてほしいっす！,"아사히임다~! \n하지만, 어째서 틀렸슴까? 가르쳐주셨음 함다!"
せ、正解……だから\n……ん、お菓子やる。ハロウィンだしな,"저, 정답……그러니까\n……음, 과자줄게. 할로윈이고"
はずれ……！　って、\nわざと間違えただろ、プロデューサー！,"꽝……!이랄까,\n일부러 틀린거지, 프로듀서!"
もう～、最後まで言わせてください……！\n千雪です,"정말~, 마지막까지 말하게 해 주세요……!\n치유키에요"
……もう。フライングで間違えるなんて\nひどいです、プロデューサーさん！,"……정말. 다 듣지도 않고 말해서 틀리다니\n너무해요, 프로듀서님!"
お見事！　正解です！\nプロデューサーさんには簡単な問題すぎましたかね……！？,훌륭해! 정답이에요!\n프로듀서님에겐 너무 간단했었나요……!?
惜しい！　正解は園田智代子でした！\n次はきっと当ててくださいね！,아깝다! 정답은 소노다 치요코였습니다!\n다음엔 꼭 맞혀주세요!
プロデューサーが間違えるわけないですよね……！,프로듀서가 틀릴 리가 없겠죠……!
すっすみません……！\n今の、忘れてください,"죗 죄송합니다……! \n지금껀, 잊어주세요"
正解っ☆　甘奈でした～！\nプロデューサーさんなら当ててくれるって、信じてたよ☆,"정답☆아마나였습니다~! \n프로듀서님이라면 맞혀줄거라고, 믿고 있었어☆"
えっ……？　\n本当にわからなかったわけじゃない……よね……？,엣……?\n정말로 몰랐던 거는 아니……겠지……?
はい……\nわたし……です……♪,네……\n저……예요……♪
ふふ……ふふふっ……！\nもう一回……です……！,후후……후후훗……! \n한번 더……에요……!
正解ですー\n……んー、正解ってなんか物足りないですねー,"정답이에요ー\n……음ー, 정답이라니 뭔가 어딘지 부족하네요ー"
ふふー、ハズレですー\nバツとして、お菓子一年分を要求しまぁす,"후후ー, 꽝이에요ー\n벌로써 과자 일년치를 요구합니다아"
さすが、大正解だ。声か、話し方か、それとも……\nなんて、理由を聞くのは野暮かな,"역시, 대정답이야, 목소리인가, 말투인가, 그게 아니면……\n랄까, 이유를 묻는건 멋없으려나"
おや、わからなかったかい？\nそれなら私の声をもっと聞き、もっと覚えてもらわないとね,"어머, 몰랐던거야?\n그렇다면 나의 목소리를 좀더 듣고, 좀더 기억해주지 않으면"
おおっ、最低限のヒントでよくできました！\nそう！　Ｐたんの三峰です！,"오옷, 최저한의 힌트로 잘 해냈네!\n그래! P땅의 미츠미네입니다!"
ありゃー、残念！　わかってもらえなかったかぁ\n三峰、悲しいな～,"어머ー, 유감! 몰라준건가아\n미츠미네, 슬프네~"
ほわぁ、正解です、プロデューサーさんっ\nあ……声で誰だかすぐわかっちゃいますよねっ,"호와아, 정답이에요, 프로듀서님\n아……목소리로 누군지 바로 아신거군요"
……その、ハズレなんです……\n……急に目隠ししちゃってすみませんでした……っ,"……그게, 틀렸어요……\n……갑자기 눈 가려버려서 죄송했어……욧"
ふう……,후우……
はい……,네……
そ、そっか……,"그, 그렇구나……"
うーん……,으음 ……
ありがとうございます！,고맙습니다!
あー！,아!
おおっ……！,오오……!
もちろん！,당연하지!
え？,네?
ええ！,그래!
え！？,뭐!?
はーい！,네!
それ、って……,그건……
ふふ……,후후……
……ふふ,후후……
は、はい……！,"네, 네……!"
……っ……,……읏……
ええ！？,에에!?
は、はい!,"ㄴ, 네!"
"やは～～～！
プロデューサー！","야하~~~!
프로듀서!"
"雛菜、
よかったよね～～～？","히나나,
잘했지~~~?"
うん、すごくよかったよ雛菜,"응, 엄청 잘했어, 히나나"
"あは～、やっぱり～！
雛菜もそう思う～～～！","아하~, 역시~!
히나나도 그렇게 생각해~~~!"
"だって雛菜、
すっごく楽しくてしあわせ～だったから","히나나,
엄청 즐겁고 행복~했으니깐"
……そうか,……그렇구나
"だからきっとみんなも
楽しくてしあわせ～になったよね～？","그러니까 분명 다들
즐겁고 행복~해졌겠지~?"
ああ、なったよ,"응, 그렇게 됐어"
"ん～～～
やっぱり雛菜、アイドルに向いてるかも～","음~~~
역시 히나나, 아이돌에 어울릴지도~"
"みんな雛菜のこと見て
しあわせ～ってなったらいいのにね～？","다들 히나나를 보고
행복~해졌으면 좋겠는데 말야~?"
"雛菜が今よりもっとかわいくなっちゃったら
プロデューサー、どうする～？","히나나가 지금보다 더욱 귀여워져버리면
프로듀서는, 어떻게 할거야~?"
あは～、一週間後ビジュアルレッスンさせて～？,"아하~, 1주 후 비주얼 레슨 시켜줘~?"
"やは～♡
ありがとうございます～～～","야하~♡
고맙습니다~~~"
"あは～
そっか、じゃあいいや～","아하~
그렇구나, 그럼 됐어~"
"やは～♡
歌、上手くなったよ～～～！","야하~♡
노래를 잘하게 되었어~~~!"
"ね、雛菜歌うから
プロデューサー、聴いてくれる～？","저기, 히나나 노래할테니까
프로듀서, 들어줄래~?"
"え～～～
ボーカルレッスンだったのに～……","에~~~
보컬 레슨이었는데……"
"約束したよね？
なんで～～～？","약속했잖아?
왜~~~?"
"ん～？
あんまり上手くいかなかったかも～……","음~?
그다지 잘하지 못 한 것 같아~……"
"でも楽しかったからいいや～
また次頑張ろう～、ね？","그치만 즐거웠으니까 됐어~
다음에 다시 열심히 할게~, 응?"
"え～～～
ダンスレッスンの約束は～？","에~~~
댄스 레슨 약속은~?"
"あは～、雛菜もうレッスンいらないくらい
上手ってこと～～～？","아하~, 히나나 더 이상 레슨 필요 없을 정도로
잘 한다는 뜻이야~~~?"
"やは～♡
雛菜、もっとかわいくなった～～～！","야하~♡
히나나 더 귀여워졌어~~~!"
"プロデューサー、どう～？
今の雛菜がいちばんかわいいでしょ～？","프로듀서, 어때~?
지금 히나나가 제일 귀엽지~?"
"え～～～
雛菜のお休みは～～～？","에~~~
히나나의 휴식은~~~?"
"あは～、
そんなに雛菜に会いたかったの～？","아하~,
그렇게까지 히나나를 만나고 싶었던 거야~?"
"やは～♡
ダンス、もっと上手くなった～～～！","야하~♡
댄스 더 잘 추게 됐어~~~!"
"は～い、じゃあ
プロデューサーは褒めて～？","자~, 그럼
프로듀서, 칭찬해줄래~?"
"え～～～
ビジュアルレッスンでしたよね～？","에~~~
비주얼 레슨이었었지~?"
"ん～、雛菜
これ以上かわいくならない方がいい～？","음~, 히나나
이 이상 귀여워지지 않는 게 나아~?"
ん～、お休みさいこ～～～♡,"음~, 휴식 최고~~~♡"
"雛菜また頑張れそう～～～！
プロデューサー、ありがとうございます～","히나나 다시 열심히 할 수 있을 것 같아~~~!
프로듀서, 고맙습니다~"
二週間後、ビジュアルレッスンさせて！,"2주일 후에, 비주얼 레슨 시켜줘!"
二週間後、休んでもいい？,"2주일 후, 쉬어도 될까?"
一週間後、休んでもいい？,"1주일 후, 쉬어도 될까?"
一週間後、休めたりするっすか？,"1주일 후에, 쉬어도 되겠슴까?"
今週、休めたりするっすか？,"이번 주, 쉬어도 되겠슴까?"
二週間後、休めたりするっすか？,"2주일 후에, 쉬어도 되겠슴까?"
研究！　したいっす！\r\nどうしても気になることがあるんす！,연구! 하고 싶슴다!\r\n아무래도 신경이 쓰이는 게 있슴다!
二週間後は休ませて\n体はアイドルの資本なんだから,2주일 후는 쉬게 해줘\n몸은 아이돌의 자본이니까
一週間後、ビジュアルレッスンしてい～い？,"일주일 후, 비주얼 레슨 해도 괜찮아~?"
ねえ、二週間後にボーカルレッスンしてもいい?,"저기, 2주일 후에 보컬 레슨 해도 돼?"
一週間後は休ませて\r\n体はアイドルの資本なんだから,일주일 후에 쉬게 해줘\r\n몸은 아이돌의 자본이니까
二週間後、ビジュアルレッスンしたいっす！,"2주일 후, 비주얼 레슨 하고 싶슴다!"
あっちゃ～……やっちゃったっす～……,앗챠~…… 저질러 버렸슴다~……
プロデューサーさん、ごめんっす！,"프로듀서님, 죄송함다!"
二週間後、ビジュアルレッスンしてい～い？,"2주일 후, 비주얼 레슨 해도 괜찮아~?"
あ～、やっぱなんか物足りないカンジするわ～,"아~ , 역시 어딘가 부족한 느낌이 들어~"
次は頼むね～、プロデューサー,"다음은 부탁할게~, 프로듀서"
あ、ヤッバ！　今日誘われてたんじゃん！,"아, 위험해! 오늘 권유 받았었잖아!"
友達、ちょーおこなんだけど～……,"친구, 초ー화나 버렸는데~……"
プロデューサー、ちょい誘われちゃって\r\n断れない系でさ～,"프로듀서, 조금 권유 받아버렸는데\r\n거절할 수 없어서 말야~"
今週、休んでもいい？,"이번 주, 쉬어도 괜찮아?"
一週間後、ボーカルレッスンってできる～？,"일주일 후, 보컬 레슨 할 수 있어~?"
あ～、もうちょい体動かしたい系～,"아~, 조금만 더 몸을 움직이고 싶은 느낌~"
プロデューサー、今週ダンスレッスンしたいんだけど,"프로듀서, 이번 주에 댄스 레슨 하고 싶은데"
おっ、さすがプロデューサーじゃん♪,"옷, 역시 프로듀서네♪"
え～、無理なん？\r\nま、しゃーないか～,"에~ , 무리야?\r\n뭐, 어쩔 수 없지~"
いや～、ちょーヤバかった！,"이야~ , 초ー위험했네!"
愛依、お疲れ様\r\nやっぱりカメラがあると緊張するよな,"메이, 수고했어\r\n역시 카메라가 있으면 긴장하는구나"
いや、それもそうかもだけどさ～,"아니, 그것도 그렇지만 말야~"
んなことより、あっちこっちに\r\n有名な人、いまくりで！,"그런 것보다, 여기저기에 \r\n유명한 사람, 잔뜩이라서!"
心臓のバクバク、これ緊張なのか\r\nテンション上がってんのかわかんないわ～,"심장의 두근두근, 이건 긴장이려나\r\n텐션이 오르고 있는 건지 모르겠어~"
やっぱテレビってハンパないわ！,역시 텔레비전은 장난아니네!
まぁ、なんにせよ、大事もなく終わって良かったよ\r\nそろそろ帰ろうか,"뭐, 어쨌든, 무사히 끝나서 다행이야\r\n슬슬 돌아갈까"
だね～\r\nこれ以上ここにいたらどーにかなっちゃいそ～！,그렇지~\r\n이 이상 여기에 있으면 어떻게 될 것 같다구~!
うち、もっとアガるメイクテク覚えたいんだよね～,"나, 더 쩌는 메이크 테크닉 배우고 싶은데~"
今週、ビジュアルレッスンしてい～い？,"이번 주, 비주얼 레슨 해도 될~ 까?"
あ～あ、可愛くなるコツ、わかんなかったじゃん,"아~ 아, 귀엽게 보이는 요령, 모르게 됐잖아"
うちの可愛い姿、見れなくて残念だったね～,"내 귀여운 모습, 못 보게 돼서 유감이네~"
プロデューサー、一週間後ダンスレッスンしたいんだけど,"프로듀서, 일주일 후 댄스 레슨 하고 싶은데"
プロデューサー、二週間後ダンスレッスンしたいんだけど,"프로듀서, 이주일 후 댄스 레슨 하고 싶은데"
よっしゃ～、めっちゃ動いた～！,"좋았어~, 엄청 움직였다~!"
マジスッキリだわ！\r\nプロデューサー、サンキュ！,"진심 상쾌해졌어! \r\n프로듀서, 땡큐!"
プロデューサー、見てよ\r\nこのメイク、ちょーヤバくない？,"프로듀서, 봐봐\r\n이 메이크, 초ー쩔지 않아?"
マジアガるわ～\r\nプロデューサーもそう思うっしょ？,진심 쩌네~\r\n프로듀서도 그렇게 생각하지?
あの曲、もっといいカンジに歌いたいんだけどさ～,"그 곡, 좀 더 좋은 느낌으로 노래하고 싶은데 말야~"
今週、ボーカルレッスンってできる～？,"이번 주, 보컬 레슨 할 수 있어~?"
～♪\r\nどう、上手くなったっしょ～,"~♪\r\n어때, 능숙해졌지~"
今度カラオケでも歌おっかな～\r\nサンキュ！　プロデューサー,다음에 노래방에서도 노래해볼까~\r\n땡큐! 프로듀서
プロデューサー、どうだった？,"프로듀서, 어땠어?"
最近は少しずつだが、カメラを意識できていると思うぞ,"최근에는 조금씩이지만, 카메라를 의식할 수 있게 됐다고 생각해"
うん、そう思う,"응, 그렇게 생각해"
……ところで、もう普通にして大丈夫だぞ,"…… 그런데, 이제 평소처럼 해도 괜찮아"
っぷはぁ～、いやマジテレビって\r\n出る側のメンタルちょーヤバいよね～！,"푸하아~, 이야 진짜 TV는\r\n나오는 쪽의 멘탈 초ー위험하네~!"
うち、フツーにテレビ出れんの\r\nいつになっかな～？,"나, 평범하게 텔레비전에 나오는 건\r\n언제쯤이려나~?"
二週間後、ボーカルレッスンってできる～？,"2주일 후, 보컬 레슨으로 해줄 수 있어~?"
うちひとりで練習したんだけどさ～,나 혼자서 연습했는데 말야~
ひとりだとマジわかんないから\r\n次はヨロシクね～,혼자서 하면 진심 잘 모르겠으니까\r\n다음은 부탁할게~
もっとダンスレッスンをしたいですっ\r\n今週レッスンすることはできますか？,좀 더 댄스 레슨을 하고 싶어요 \r\n이번 주에 레슨 할 수 있을까요?
一週間後ダンスレッスン、準備してよね！！,"일주일 후 댄스 레슨, 준비한거 맞지!!"
ふゆはすっごく可愛いけど……\r\nこの可愛さに甘んじてちゃダメよね,후유는 굉장히 귀엽지만……\r\n이 귀여움에 응석부리면 안 되겠지
一週間後、ビジュアルレッスンさせて！,"일주일 후, 비주얼 레슨 시켜줘!"
決まりね！\r\n約束、絶対守りなさいよ！,"결정이네! \r\n약속, 꼭 지키도록 해!"
はあ……！？\r\n……次は絶対、ふゆの言ったとおりにしなさいよ！,"하아……!?\r\n……다음에는 꼭, 후유가 말한 대로 하라구!"
ち、違うの！\r\nこれは、その……その……,"다, 달라! \r\n이건, 그…… 그……"
